case_group,ACN,incident_year,Aircraft 1 | Flight Phase,Environment | Flight Conditions,Environment | Weather Elements / Visibility,Environment | Light,Environment | Ceiling,true_label,predicted_label,score,text_word_count,narrative_excerpt
False Positive,2204721,2025,Landing,VMC,,,,0,1,0.8993478280839542,462,During arrival briefing; noticed moderate turbulence on the app and ATIS winds of 030@27G41. First Officer (FO) looked up gust factor crosswind and it showed 31kts which was within limits. We agreed to use flaps 3 to reduce impact of crosswind gust on aircraft stability and added 3kts to Vapp. I briefed a visual to 08L backed by the ILS and the wind-shear recovery maneuver. I also briefed the FO to not call Tower in the event of a go around until after we had finished the initial steps and climbing out so that I could be fully attentive to their directions. At 1;000' winds were calm and we were very stable with light winds at 500'. Somewhere between 300-400 feet the airspeed rapidly increase
False Positive,2219337,2025,Landing,,,,,0,1,0.898083662452709,314,Flight 4 hours delayed to ZZZ due to mechanical and tail swap in ZZZ1. I was pilot monitoring (PM). First Officer (FO) as pilot flying (PF). Arrival into ZZZ Runway XXRCaptain as PM; FO as PF. Arrival into ZZZ ILSXXR. ATIS winds 310/15G25 with LLWS advisory in effect. Winds approximately 310/16G22 from Tower ATC landing clearance. I remember thinking 6-7 kt gust and ATS consideration for approach speed. FO did well controlling speed on final and maintained stabilized approach criteria with momentary wind gusts and proper corrections for speed and pitch. Autopilot disconnected at approximately 500ft and pitch and aim point stable. Approaching 50Ft PF adjusted power and maintained landing zone
False Positive,2222482,2025,Final Approach,IMC,,,,0,1,0.8905927306951317,343,While riding in a jump seat of an air carrier I observed and had to alert the crew to a developing situation that could possibly have led to an undesirable aircraft state. While on approach around 800-900ft AGL I heard an audible 'wind shear;' the PF responded by increasing power and climbing. After leveling off at 200ft above our assigned altitude the crew attempted to clean up the aircraft; the PF said 'let's clean it up.' At this time the gear was brought up and multiple audible 'landing gear;' alerts due to the flaps still being in landing configuration. We got our first flap over speed at this time; the PF was still hand flying with auto throttles off; very little communication between 
False Positive,2251946,2025,Landing,,,,,0,1,0.8884775721938943,328,Normal arrival but brought in a little high but stable very early due to slow traffic in front of us. Winds were 240/10 so looking at a right quartering headwind with an approach speed of around 142 kts. Told to intercept final and then asked if we had the runway. When we acknowledged the runway in sight we were cleared the visual. Planned a full flap landing and low auto brakes to expedite the arrival since landing away from the terminal. Disconnected the Autopilot once preceding GA traffic was clear the runway and continued a stable visual approach. Between 30 and 20 feet started pulling power off the airplane while a wind shift of 10 kt loss happened which created a larger than normal sin
False Positive,2212356,2025,Landing,VMC,,,,0,1,0.8861517573398374,369,We were cleared RNAV Z Runway XXL into ZZZ. Landing weight was 168;000 lbs and ref speed of 136 kt. Current weather was VMC; winds 160 15 kt G25. Approaching FAF ZZZZZ speed was 170 kt where final configurations were completed and landing checklist was completed around 1;400'. During the descent we were seeing airspeed fluctuations about -3 kt +5 kt at one point; but trend arrows were moving around during whole approach. As we were approaching around 1;000 feet Aircraft Y was cleared for take off Runway XXL Shortened. Their takeoff roll was delayed a little longer then normal. At 500' the aircraft was stable on approach and everything appeared normal; nothing felt rushed nor were we behind t
False Positive,2258591,2025,Landing,VMC,,Daylight,,0,1,0.8789660447590553,420,Flying with Client for PC-12 recurrent training. We had done all of the airwork and VFR emergencies. We'd done one coupled approach and Client had hand-flown the RNAV XX approach with a circle to (intended) land XY. For training purposes; the circle to land; and intended landing; was flown with the flaps retracted (flaps 0 landing; part of the training curriculum).All was going well; Client had been flying very well and was well ahead of the airplane. On the circle he was ~1200' agl and 130 KIAS; a good speed to do with flaps up.On final we were around 120 KIAS which is a reasonable speed for the flaps up approach.As we got over the runway threshold I felt we were at a reasonable speed and a
False Positive,2295766,2025,Initial Approach,,,,,0,1,0.8786879190714477,171,"On approach in to ZZZ. I operated as PM. During the final approach into ZZZ aircraft was configured and on a vector to intercept RNAV XXR. PF was in heading mode; and I as PM noticed we were overshooting so queried if they intended to be in A NAV/VNAV mode. NAV mode was selected however it was paired with VS˜1100 FPM. As the aircraft intercepted and went through the path I called out trending low"" as I noticed the visual picture of the runway began to change. PM disconnected AP (Autopilot). I then called out a series of ""check speed""; ""speed X"" as well as reminding PF of runway length and the need to be on speed in order to stop in the allotted distance. At this point ATC issued a Low Altitu"
False Positive,2206165,2025,Initial Approach,VMC,,,CLR,0,1,0.8718801197166022,241,SKC; excellent visibility; light winds; MTV 1.  When arriving at ZZZ landing north; TRACON vectored us to a very short final at an altitude higher than optimum.  As the PM; I became distracted by 'cleaning up' the FMS for the approach; assuming the PF would be able to manage the short vector.  The PF descended below glidepath approximately 5 miles from the field; resulting in a 'low altitude' alert from ATC.  Since we were on a visual approach with no obstacles affecting our route; we elected to continue the approach as we were not unstable; and continuing the approach appeared to be a safe course of action.Failure by the CA (PM) to properly monitor the FO (PF) during the visual approach to 
False Positive,2224770,2025,Final Approach,VMC,,,,0,1,0.8714195805186187,252,Neither the Captain or myself have ever been into ZZZ. We were unfamiliar with the approach and airport. We referenced the company pages as well as the guide to familiarize ourselves. While on the ZZZZZ1 RNAV we were cleared to ZZZZZ 12000ft; speed assigned 230kts.We briefed and executed speed breaks 1/2 crossing ZZZZZ.  We were cleaned the RNAV RNP Z rwy XX. We armed the approach and set 6500ft initially. FMA's where SPEED; FINAL APP. Brick and blue stick. Aircraft momentarily leveled at 10;600 between ZZZZZ and ZZZZZ1. Once passing ZZZZZ1 we still have 1/2 speed brakes; the aircraft began the decent for approach and accelerated to 260kts indicated. Unable to slow to gear speed; Auto pilot 
False Positive,2251202,2025,Landing,VMC,Turbulence; 10,,,0,1,0.871136914203399,415,Our aircraft experienced a possible hard/firm landing event on Runway XXL. At the time; I was the Pilot Flying (PF) while the Captain was Pilot Monitoring (PM).In the lead up to this event; we were performing the approach in visual conditions; with the autopilot on (used the RNAV Y XXL as the back up in the box); and the reported weather conditions at ZZZ were reported from the west (about 240 @ 7). The descent was slightly bumpy with minor variations in airspeed which required minor power adjustments; and worked to keep the speed slightly above VREF (Reference Landing Speed) to as a safety margin. The approach remained stable at the 1000; and 500 foot gates and was continued. The bumpiness 
False Positive,2298672,2025,Initial Approach,,Gusty winds,,,0,1,0.8569240101675778,288,After going miss in ZZZ due to gusty winds the flaps failed to retract and we oversped the flaps.  On the approach into ZZZ XX R we encounter gusty conditions but the winds were nearly straight down the runway.  I was the pilot flying.  I do not remember the altitude we were at but the ILS failed. (Airplanes behind us also reported the ILS failing so it must of been an airport issue).  Tower asked us if we wanted to continue visually. I elected to go around since i felt already very saturated from trying to keep the plane on speed and felt trying a second approach would be better than trying to continue current one.  As we were preforming the go around we encounter more gust winds and speed 
False Positive,2234268,2025,Landing,,Windshear,Daylight,,0,1,0.8550941322778748,39,Propeller strike. Stabilized approach; landing XXR; wind approximately 240 8-9kts bounced 2X; go around; Tower asked me if I encountered wind shear. Stabilized approach bounced 1x; go around landed third try. Discovered damage when engine shut down at hangar.
